[2025-11-30 19:55:59] User: thread_user3 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user4 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user0 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user2 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user1 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user3 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:55:59] User: thread_user3 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:55:59] User: thread_user2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:55:59] User: thread_user0 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:55:59] User: thread_user4 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 22:41:43] User: req_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 22:41:43] User: req_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 22:41:44] User: req_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 22:41:44] User: req_user1 | Action: SEND_FRIEND_REQUEST | Details: req_user2
[2025-11-30 22:41:44] User: req_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 22:41:47] User: seen_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 22:41:47] User: seen_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 22:41:47] User: seen_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 22:41:48] User: seen_user1 | Action: ADD_FRIEND | Details: seen_user2
[2025-11-30 22:41:48] User: seen_user1 | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 22:41:50] User: seen_user1 | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 22:41:50] User: seen_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 22:42:24] User: req_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 22:42:24] User: req_user1 | Action: SEND_FRIEND_REQUEST | Details: req_user2
[2025-11-30 22:42:24] User: req_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 22:42:54] User: seen_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 22:42:55] User: seen_user1 | Action: ADD_FRIEND | Details: seen_user2
[2025-11-30 22:42:55] User: seen_user1 | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 22:42:57] User: seen_user1 | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 22:42:57] User: seen_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 22:59:21] User: giang2b | Action: REGISTER | Details: New user registered
[2025-11-30 22:59:37] User: HaChu | Action: REGISTER | Details: New user registered
